Ziua,Orele,Frecventa,Sala,Formatia,Tipul,Disciplina,Cadrul didactic
Luni,10 - 12, ,L001,931,Seminar,Limbaje formale si tehnici de compilare,Lect. PETRASCU Vladiela
Luni,14 - 16, ,2/I,IE3,Curs,Programare paralela si distribuita,Lect. LUPSA Radu
"Marti,",12 - 14, ,lambda,931/2,Laborator,Programare paralela si distribuita,Lect. LUPSA Radu
Marti,14 - 16, ,lambda,931/1,Laborator,Programare paralela si distribuita,Lect. LUPSA Radu
Miercuri,12 - 14,sapt. 2,L306,931,Laborator,Criptografie cu cheie publica,Drd. CHIRU Iulia
Miercuri,18 - 20, ,C335,IE3,Curs,Arhitectura aplicatiilor cloud,Lect. GREBLA Horea
Joi,10 - 12, ,C310,IE3,Curs,Criptografie cu cheie publica,Prof. CRIVEI Septimiu
Joi,10 - 12, ,L343,931/1,Laborator,Limbaje formale si tehnici de compilare,Lect. PETRASCU Vladiela
Joi,16 - 18, ,2/I,IE3,Curs,Limbaje formale si tehnici de compilare,Prof. MOTOGNA Simona
Vineri,12 - 14,sapt. 1,L404,931/2,Laborator,Programare pentru dispozitive mobile,Lect. COJOCAR Dan
Vineri,14 - 16, ,L321,931,Laborator,Proiect de cercetare,Prof. CZIBULA Istvan
Vineri,14 - 16,sapt. 1,L336,931,Laborator,Arhitectura aplicatiilor cloud,Lect. GREBLA Horea
Vineri,16 - 18, ,A2,IE3,Curs,Programare pentru dispozitive mobile,Lect. COJOCAR Dan
Vineri,18 - 20,sapt. 1,L001,931/1,Laborator,Programare pentru dispozitive mobile,Asist. MURESAN Horea
Vineri,18 - 20, ,L301,931/2,Laborator,Limbaje formale si tehnici de compilare,Drd. PATCAS Rares
